epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,2987.32,0.82118,0.57779,1.16968,0.92212,0.90036,0.95547,0.69768,0.94432,0.53278,1.26506,0.001142,0.001142,0.001142
132,3010.79,0.83406,0.58818,1.17452,0.93736,0.90538,0.94988,0.70224,0.94243,0.55813,1.29707,0.0011354,0.0011354,0.0011354
133,3034.34,0.82859,0.57308,1.18023,0.9196,0.93616,0.95256,0.7206,0.9509,0.54278,1.29996,0.0011288,0.0011288,0.0011288
134,3057.32,0.85625,0.59992,1.18584,0.91801,0.92883,0.95293,0.71445,0.94181,0.54556,1.27025,0.0011222,0.0011222,0.0011222
135,3078.88,0.82438,0.5817,1.16229,0.94206,0.91103,0.95751,0.70859,0.91036,0.54391,1.25321,0.0011156,0.0011156,0.0011156
136,3102.37,0.81837,0.5695,1.16237,0.92364,0.92171,0.95318,0.70439,0.92779,0.5622,1.26555,0.001109,0.001109,0.001109
137,3125.85,0.84509,0.58835,1.1687,0.87874,0.93238,0.94969,0.70554,0.93871,0.54921,1.27278,0.0011024,0.0011024,0.0011024
138,3149.37,0.81427,0.57635,1.15233,0.94287,0.91103,0.95796,0.70897,0.92079,0.53186,1.26695,0.0010958,0.0010958,0.0010958
139,3170.79,0.82929,0.57884,1.15661,0.9419,0.8968,0.94952,0.71409,0.90402,0.53732,1.23848,0.0010892,0.0010892,0.0010892
140,3188.93,0.83718,0.57226,1.18106,0.90932,0.92782,0.95386,0.70411,0.96187,0.5643,1.28372,0.0010826,0.0010826,0.0010826
141,3212.45,0.82814,0.571,1.16792,0.91109,0.91166,0.94628,0.69977,0.91243,0.54251,1.26579,0.001076,0.001076,0.001076
142,3235.96,0.82751,0.58718,1.16969,0.94071,0.90348,0.94766,0.70475,0.91777,0.55019,1.22322,0.0010694,0.0010694,0.0010694
143,3257.39,0.82189,0.58122,1.16501,0.93396,0.9059,0.94728,0.69876,0.90702,0.52363,1.25652,0.0010628,0.0010628,0.0010628
144,3281.14,0.83129,0.56718,1.16695,0.94601,0.90391,0.94919,0.69901,0.92642,0.52005,1.27024,0.0010562,0.0010562,0.0010562
145,3304.65,0.81177,0.58443,1.16598,0.89605,0.95374,0.95715,0.69907,0.92846,0.52256,1.29784,0.0010496,0.0010496,0.0010496
146,3328.17,0.8276,0.57316,1.17164,0.94537,0.92372,0.95373,0.69407,0.94777,0.54663,1.31854,0.001043,0.001043,0.001043
147,3351.64,0.80388,0.55933,1.15664,0.90018,0.93071,0.93797,0.67261,0.9556,0.5377,1.30482,0.0010364,0.0010364,0.0010364
148,3375.1,0.81659,0.5749,1.16599,0.89211,0.9416,0.94912,0.69398,0.91264,0.55094,1.2518,0.0010298,0.0010298,0.0010298
149,3398.6,0.81702,0.55735,1.15671,0.92698,0.90358,0.94854,0.69072,0.91951,0.56133,1.28082,0.0010232,0.0010232,0.0010232
